StopID,StreetID,StopNumber
570,69,20006
571,814,60730
572,64,62024
573,617,40512
574,131,10638
575,3939,30631
576,835,60115
577,641,50604
578,715,30683
579,766,10373
580,688,61021
581,697,10132
582,194,60443
583,601,60084
584,315,60073
585,683,10577
586,56,10171
587,611,50404
588,601,50096
589,604,60549
590,976,20287
591,602,60396
592,826,50104
593,777,40295
594,88,11032
595,601,10159
596,629,10579
597,620,20246
598,5664,40091
599,650,60858
600,99,40225
601,151,30686
602,533,40423
603,5663,50484
604,620,50249
605,29,10360
606,630,60933
607,601,10651
608,601,60578
609,336,20600
610,574,50407
611,601,50075
612,615,60433
613,601,10580
614,907,50286
615,615,20264
616,601,61234
617,64,50966
618,750,20291
619,607,10634
620,619,40380
621,625,10614
622,247,20166
623,5681,10524
624,44,30263
625,44,61227
626,315,30506
627,629,30388
628,602,10060
629,720,40062
630,625,40233
631,601,50272
632,601,20099
633,535,10567
634,204,10543
635,594,40164
636,131,30624
637,641,10337
638,607,60250
639,315,20005
640,655,10617
641,609,30643
642,5682,10565
643,619,60383
644,725,30664
645,325,20157
646,310,61181
647,23,10599
648,641,50616
649,611,10289
650,172,10365
651,131,60568
652,64,40202
653,23,60028
654,702,30025
655,702,10284
656,56,61124
657,622,60961
658,669,50607
659,649,30470
660,483,30549
661,671,61237
662,720,61274
663,64,61277
664,952,50275
665,310,10642
666,619,50021
667,636,50879
668,601,20180
669,669,10457
670,733,20273
671,611,30711
672,131,30094
673,601,60567
674,741,60248
675,618,10577
676,5682,61097
677,625,20030
678,10,30664
679,730,10513
680,801,20026
681,697,20412
682,601,50682
683,315,60081
684,689,20272
685,601,10066
686,665,50174
687,1026,10545
688,99,30780
689,844,50548
690,399,40410
691,131,20292
692,625,10864
693,777,61104
694,602,10498
695,724,10159
696,799,40523
697,118,60365
698,605,30184
699,64,60347
700,5683,20076
701,678,30024
702,609,61242
703,669,50305
704,5668,10142
705,315,30526
706,602,30580
707,574,10061
708,618,40278
709,721,60712
710,639,10404
711,601,60105
712,658,30586
713,315,10561
714,766,10635
715,724,10062
716,713,10132
717,463,60361
718,99,10703
719,720,10197
720,29,40426
721,131,50266
722,895,10594
723,796,60095
724,99,50783
725,102,10177
726,702,40392
727,102,10303
728,609,60456
729,619,30386
730,5668,60464
731,622,20157
732,669,30575
733,64,30466
734,615,30526
735,213,30062
736,814,50513
737,979,30179
738,669,40512
739,64,50821
740,669,30740
741,780,30044
742,625,30734
743,780,20023
744,196,20099
745,768,20025
746,592,10736
747,891,10297
748,615,20354
749,931,50358
750,5684,50511
751,595,50335
752,601,50637
753,5676,20239
754,620,60215
755,368,60885
756,650,40499
757,618,30690
758,702,10750
759,602,61123
760,705,40292
761,812,30119
762,602,10719
763,727,40524
764,601,11035
765,91,10565
766,615,60185
767,483,50537
768,620,62026
769,655,60938
770,604,30573
771,601,60396
772,620,20263
773,622,60826
774,697,30315
775,601,60079
776,713,20273
777,5661,10840
778,701,11029
779,64,50375
780,615,30048
781,980,50536
782,636,20010
783,784,10458
784,653,30483
785,592,40193
786,634,20340
787,5685,60107
788,639,61192
789,458,30585
790,719,40858
791,131,60828
792,599,60034
793,615,50784
794,354,50550
795,131,20296
796,609,60118
797,131,60374
798,661,60260
799,325,40322
800,732,10600
801,674,20122
802,336,40071
803,599,50107
804,601,50657
805,697,20600
806,5662,60075
807,1024,11034
808,622,20016
809,625,30193
810,657,10508
811,605,40003
812,99,20081
813,719,40393
814,702,61107
815,624,60958
816,720,60427
817,64,50289
818,607,30025
819,708,10615
820,592,30707
821,23,20343
822,615,10288
823,5686,50866
824,664,60097
825,737,20382
826,720,50038
827,131,50565
828,5672,60251
829,131,61273
830,612,60253
831,721,20335
832,336,60105
833,833,50108
834,196,20313
835,411,10444
836,619,60867
837,131,20142
838,639,60150
839,639,30222
840,5687,30588
841,826,10838
842,658,11032
843,546,10635
844,99,10238
845,609,40384
846,5688,60314
847,601,50068
848,639,10542
849,727,30589
850,713,10156
851,102,10643
852,654,30501
853,655,60617
854,601,30639
855,297,20270
856,766,61226
857,834,11039
858,131,40363
859,601,60125
860,607,10541
861,683,10617
862,102,50404
863,619,30491
864,601,20168
865,102,20233
866,720,30490
867,99,50583
868,601,40374
869,611,20216
870,131,10584
871,601,60499
872,618,60069
873,628,20272
874,713,20012
875,720,61119
876,29,10840
877,621,50585
878,29,10589
879,636,10184
880,619,10590
881,641,10451
882,625,20143
883,618,10380
884,694,10499
885,99,20032
886,1007,40195
887,247,40420
888,601,30854
889,184,30243
890,713,10573
891,68,60908
892,639,10653
893,631,60835
894,480,30226
895,665,10363
896,5689,10668
897,601,30359
898,615,60138
899,695,10562
900,661,50522
901,665,20328
902,197,40336
903,979,30182
904,721,40839
905,601,50821
906,618,61253
907,131,20256
908,660,10766
909,5690,60250
910,633,40303
911,131,50886
912,131,50860
913,594,60718
914,88,60118
915,64,10317
916,658,10831
917,665,10625
918,601,10746
919,665,30363
920,644,20224
921,5689,30378
922,720,50612
923,633,60138
924,649,50558
925,601,50347
926,5691,61209
927,594,20207
928,463,20288
929,102,10306
930,609,10197
931,1001,30425
932,411,60386
933,131,30809
934,93,60887
935,720,60115
936,5692,50131
937,131,50283
938,52,40743
939,634,60148
940,118,40897
941,213,60107
942,622,10113
943,639,30172
944,974,30315
945,5664,30782
946,609,10788
947,51,40207
948,741,60371
949,601,61163
950,601,60831
951,131,10562
952,727,20218
953,601,10072
954,739,10169
955,131,20200
956,671,62018
957,665,60152
958,609,61292
959,720,30182
960,928,60316
961,64,50279
962,5693,20054
963,601,30028
964,665,50678
965,64,20264
966,23,30372
967,592,30090
968,194,10293
969,632,20357
970,649,60046
971,721,60087
972,357,60969
973,650,60105
974,315,30761
975,76,30489
976,694,10061
977,671,60289
978,893,40209
979,624,61205
980,694,30161
981,695,60437
982,639,40789
983,143,20318
984,625,30141
985,5678,50020
986,69,10525
987,734,10421
988,712,62023
989,599,20397
990,607,40180
991,725,50787
992,604,10616
993,102,61176
994,669,60404
995,64,30502
996,619,30726
997,646,30022
998,505,20182
999,357,50295
1000,689,60666
1001,618,30755
1002,666,50162
1003,789,10769
1004,624,10628
1005,131,10091
1006,607,60352
1007,720,60144
1008,719,10611
1009,310,50588
1010,297,60829
1011,694,50661
1012,611,61221
1013,607,40065
1014,483,60482
1015,131,10618
1016,781,61276
1017,64,60154
1018,1016,10596
1019,151,30038
1020,694,20212
1021,609,50504
1022,696,40065
1023,64,10127
1024,620,50072
1025,641,10627
1026,446,60963
1027,657,10818
1028,665,40626
1029,694,40041
1030,721,30106
1031,652,40785
1032,131,60105
1033,626,40661
1034,171,60125
1035,629,30452
1036,665,40128
1037,609,40096
1038,602,30371
1039,814,10148
1040,672,40536
1041,69,40511
1042,772,10041
1043,601,61266
1044,5694,10649
1045,611,20262
1046,883,20154
1047,535,60489
1048,428,11049
1049,870,40166
1050,639,61085
1051,650,10037
1052,744,30588
1053,631,30694
1054,629,40870
1055,592,10631
1056,601,40061
1057,52,20351
1058,5675,10577
1059,833,40896
1060,705,60825
1061,601,20312
1062,601,30499
1063,624,20216
1064,638,10562
1065,595,60444
1066,619,40556
1067,646,50636
1068,658,20157
1069,849,50012
1070,611,10744
1071,68,10181
1072,601,60563
1073,796,60196
1074,809,10542
1075,601,10114
1076,64,10386
1077,5695,10581
1078,630,10638
1079,594,20125
1080,815,60594
1081,624,20013
1082,3347,40108
1083,1151,60421
1084,606,60049
1085,689,61206
1086,710,20276
1087,609,50176
1088,720,61285
1089,792,60458
1090,952,50278
1091,609,40242
1092,52,50021
1093,607,60385
1094,5696,40894
1095,653,10617
1096,619,50298
1097,5697,40194
1098,865,50095
1099,624,62004
1100,15,50383
1101,639,60432
1102,131,61284
1103,213,30392
1104,694,60033
1105,68,30167
1106,179,40187
1107,102,60199
1108,694,61210
1109,429,10749
1110,102,40190
1111,618,60743
1112,742,10285
1113,709,10546
1114,660,50674
1115,10,40403
1116,652,40303
1117,609,20027
1118,5698,40659
1119,724,10144
1120,194,61105
1121,688,60326
1122,411,60679
1123,334,60720
1124,91,61005
1125,196,10712
1126,64,60134
1127,701,10205
1128,5661,30097
1129,608,50375
1130,5680,11029
1131,641,40280
1132,99,62022
1133,612,11023
1134,666,40375
1135,694,20336
1136,601,10628
1137,618,40120
1138,715,10556
1139,635,10408
1140,665,60804
1141,695,11030
1142,5671,30758
1143,601,20326
1144,91,20100
1145,255,20269
1146,76,60181
1147,611,60308
1148,791,20237
1149,898,60483
1150,719,62039
1151,969,20290
1152,594,60830
1153,660,60008
1154,292,10312
1155,617,40301
1156,172,50256
1157,615,30629
1158,29,40213
1159,29,50533
1160,1053,10641
1161,665,50540
1162,915,10714
1163,721,30879
1164,851,60729
1165,700,61253
1166,728,20003
1167,607,60159
1168,5699,50475
1169,618,10619
1170,615,62020
1171,720,10422
1172,641,50518
1173,196,50283
1174,665,10365
1175,643,10202
1176,609,30361
1177,665,40638
1178,694,60316
1179,5660,30378
1180,658,40778
1181,601,50018
1182,56,10713
1183,943,20201
1184,796,50395
1185,336,20281
1186,635,11044
1187,734,50083
1188,618,11030
1189,29,20399
1190,292,10417
1191,601,10641
1192,604,50621
1193,601,10381
1194,29,60534
1195,602,20206
1196,5696,10199
1197,616,40526
1198,690,50298
1199,292,10347
1200,10,10602
1201,633,50254
1202,64,20022
1203,826,50323
1204,730,30057
1205,598,11032
1206,932,20411
1207,636,10763
1208,642,61113
1209,772,10469
1210,171,60234
1211,1567,10649
1212,453,40220
1213,315,60206
1214,669,40015
1215,728,10186
1216,727,30493
1217,609,50474
1218,592,10172
1219,705,60460
1220,966,20354
1221,5700,30320
1222,694,61118
1223,930,40199
1224,609,40121
1225,131,40517
1226,627,60458
1227,665,10072
1228,658,10644
1229,713,30383
1230,623,10720
1231,631,10840
1232,653,40665
1233,196,10631
1234,1151,40198
1235,601,10205
1236,641,61206
1237,634,20214
1238,604,20002
1239,446,60107
1240,619,60522
1241,5660,40861
1242,666,20156
1243,606,50017
1244,213,10628
1245,601,20276
1246,535,30131
1247,627,10573
1248,474,40167
1249,666,10830
1250,609,40593
1251,348,10628
1252,325,10148
1253,64,10570
1254,102,10595
1255,595,30024
1256,102,30981
1257,607,50703
1258,291,10299
1259,619,10617
1260,624,60319
1261,88,20193
1262,607,61041
1263,625,10579
1264,906,10617
1265,694,10523
1266,615,30909
1267,895,40158
1268,614,50534
1269,713,50503
1270,969,30945
1271,601,10643
1272,601,60007
1273,721,20218
1274,666,10551
1275,760,61253
1276,604,10773
1277,5675,40001
1278,68,60516
1279,604,60886
1280,607,60211
1281,64,60531
1282,295,10617
1283,796,11051
1284,64,40662
1285,688,10177
1286,611,10638
1287,611,60442
1288,68,60566
1289,64,50527
1290,928,62003
1291,710,10627
1292,611,20049
1293,777,61282
1294,715,60574
1295,411,10158
1296,710,61022
1297,453,60905
1298,64,61282
1299,118,40837
1300,5689,10629
1301,64,60336
1302,5701,60138
1303,653,30083
1304,609,61202
1305,604,40775
1306,133,60372
1307,625,60426
1308,796,50726
1309,601,20101
1310,5702,20213
1311,29,10580
1312,38,61204
1313,131,40750
1314,622,20223
1315,772,60248
1316,653,30245
1317,56,10650
1318,151,40198
1319,811,50701
1320,817,50487
1321,941,30913
1322,285,30720
1323,91,10686
1324,761,50184
1325,851,60178
1326,694,30907
1327,806,10430
1328,5661,40183
1329,632,30628
1330,733,11029
1331,649,60088
1332,204,30094
1333,592,60994
1334,64,30623
1335,625,20352
1336,634,30026
1337,620,10523
1338,601,60107
1339,601,60945
1340,44,10561
1341,665,20418
1342,368,30389
1343,639,30371
1344,441,40453
1345,665,30581
1346,661,40464
1347,719,30364
1348,505,40756
1349,639,60901
1350,605,60266
1351,716,30586
1352,213,20074
1353,618,40716
1354,5703,30179
1355,902,10408
1356,131,30994
1357,641,10185
1358,407,60144
1359,131,20006
1360,609,20107
1361,505,60147
1362,315,60376
1363,619,60254
1364,766,10171
1365,194,20168
1366,703,10132
1367,172,60074
1368,93,60786
1369,213,40202
1370,184,50139
1371,625,30164
1372,131,60882
1373,131,10512
1374,607,60033
1375,64,60123
1376,639,10616
1377,611,30045
1378,865,30783
1379,64,60563
1380,865,50387
1381,5704,30035
1382,611,50605
1383,619,30872
1384,131,60541
1385,609,20159
1386,714,60115
1387,662,10128
1388,655,30531
1389,631,50093
1390,721,30572
1391,151,10631
1392,607,61254
1393,722,50487
1394,694,10611
1395,748,40579
1396,619,40174
1397,609,61172
1398,204,20129
1399,773,60466
1400,933,30621
1401,963,30903
1402,907,10911
1403,29,10004
1404,5692,61232
1405,609,10208
1406,607,40744
1407,151,60376
1408,292,10617
1409,618,50492
1410,506,50256
1411,51,10422
1412,51,10904
1413,705,61161
1414,131,20497
1415,676,30200
1416,618,60092
1417,609,50053
1418,601,20029
1419,5661,10149
1420,622,10432
1421,405,11029
1422,624,30078
1423,5678,61217
1424,891,60428
1425,615,20036
1426,5687,50358
1427,631,50531
1428,609,10838
1429,605,10353
1430,672,60461
1431,1002,10266
1432,29,11033
1433,678,61287
1434,209,10211
1435,611,50305
1436,131,10665
1437,618,60563
1438,602,60146
1439,151,10417
1440,184,40757
1441,474,60713
1442,609,60462
1443,709,40660
1444,607,60313
1445,411,40690
1446,601,10612
1447,463,60872
1448,718,10426
1449,639,30814
1450,99,30070
1451,611,30223
1452,602,40424
1453,601,60558
1454,680,40530
1455,463,20285
1456,601,40036
1457,602,11056
1458,602,20274
1459,247,40293
1460,5705,40278
1461,5706,30220
1462,671,20464
1463,689,50274
1464,99,61288
1465,5704,50173
1466,64,40405
1467,777,30872
1468,710,30080
1469,463,10159
1470,5664,60015
1471,196,10426
1472,609,40207
1473,102,10439
1474,266,60692
1475,1003,30353
1476,1009,10803
1477,64,30047
1478,609,60841
1479,595,30017
1480,630,60372
1481,720,50636
1482,748,60698
1483,534,50283
1484,703,61171
1485,851,10786
1486,607,60772
1487,720,10274
1488,292,10618
1489,671,50552
1490,665,50261
1491,607,61293
1492,631,30371
1493,64,10615
1494,354,10351
1495,719,30028
1496,665,20462
1497,625,61151
1498,721,30356
1499,605,20101
1500,5704,60105
1501,784,20070
1502,609,30773
1503,5707,30252
1504,907,60311
1505,184,61229
1506,102,60866
1507,5676,30448
1508,766,61296
1509,485,10534
1510,68,40086
1511,605,60212
1512,63,20041
1513,5671,30814
1514,627,20100
1515,635,10644
1516,204,11030
1517,601,30912
1518,694,10543
1519,721,40790
1520,625,60105
1521,669,10135
1522,601,30493
1523,336,20273
1524,605,50076
1525,607,20079
1526,665,10617
1527,608,30758
1528,601,40280
1529,601,10581
1530,693,10565
1531,76,60706
1532,689,60301
1533,23,50171
1534,634,30305
1535,91,61218
1536,661,60133
1537,901,40262
1538,820,50187
1539,315,61208
1540,702,10186
1541,619,61121
1542,143,20143
1543,978,50048
1544,609,20481
1545,614,60370
1546,5708,30002
1547,602,30836
1548,866,40279
1549,131,10157
1550,615,60034
1551,669,50535
1552,411,30726
1553,878,61134
1554,705,61228
1555,872,30119
1556,601,20362
1557,601,20202
1558,941,10578
1559,605,10686
1560,705,20523
1561,863,30175
1562,634,50135
1563,687,20261
1564,607,10907
1565,64,10614
1566,5709,30024
1567,285,50325
1568,594,50183
1569,601,10328
1570,777,10561
1571,602,10158
1572,620,40278
1573,641,60930
1574,102,11023
1575,712,30884
1576,618,40180
1577,99,20031
1578,463,40429
1579,5710,10431
1580,5687,50405
1581,1641,10838
1582,658,50655
1583,639,10755
1584,615,30910
1585,106,50527
1586,601,10384
1587,658,10578
1588,665,10745
1589,601,30361
1590,804,20600
1591,151,50864
1592,131,50504
1593,594,60128
1594,912,10318
1595,1041,20389
1596,907,11022
1597,5666,61232
1598,937,10624
1599,131,30646
1600,131,60151
1601,143,60067
1602,611,50048
1603,827,60496
1604,151,30798
1605,859,50488
1606,894,10800
1607,697,60051
1608,5711,60079
1609,604,10445
1610,64,60408
1611,666,10637
1612,630,20200
1613,665,60594
1614,5664,30371
1615,131,40225
1616,334,60248
1617,650,10359
1618,64,30701
1619,64,10634
1620,639,10629
1621,907,30108
1622,5712,61233
1623,723,10810
1624,602,60898
1625,1011,40535
1626,619,61256
1627,131,20127
1628,574,61104
1629,978,60433
1630,619,20482
1631,789,20417
1632,601,10091
1633,679,10576
1634,601,30565
1635,196,20228
1636,611,10740
1637,784,60486
1638,661,30327
1639,734,40447
1640,641,20398
1641,658,20525
1642,796,10729
1643,611,10182
1644,5713,60567
1645,213,40448
1646,636,30146
1647,64,10454
1648,635,30095
1649,902,11030
1650,52,10185
1651,644,40769
1652,609,50627
1653,204,60387
1654,625,30602
1655,694,10529
1656,622,40771
1657,720,30116
1658,458,50264
1659,756,40644
1660,131,40457
1661,607,60131
1662,720,10617
1663,664,50283
1664,5714,20378
1665,3469,30645
1666,601,50140
1667,720,10580
1668,91,50579
1669,639,60182
1670,641,30609
1671,927,20002
1672,927,20428
1673,609,20146
1674,5715,60306
1675,636,50633
1676,624,10479
1677,99,60420
1678,601,40907
1679,683,10551
1680,407,50816
1681,713,20107
1682,601,10703
1683,633,10583
1684,184,50328
1685,898,60908
1686,630,20290
1687,5675,60593
1688,697,60727
1689,601,60080
1690,636,20225
1691,29,10470
1692,5698,11052
1693,766,61112
1694,631,10704
1695,617,10631
1696,63,30577
1697,676,10428
1698,722,50057
1699,713,40580
1700,88,10643
1701,601,10831
1702,850,10583
1703,639,40377
1704,721,30589
1705,720,61254
1706,604,50280
1707,601,10094
1708,716,20230
1709,694,40157
1710,625,40175
1711,641,10521
1712,639,10365
1713,697,30585
1714,546,60080
1715,131,10233
1716,720,60026
1717,601,50569
1718,5716,10562
1719,617,40116
1720,714,30629
1721,405,30535
1722,607,60163
1723,315,10617
1724,694,10186
1725,639,40209
1726,741,30401
1727,64,61095
1728,890,10634
1729,1378,40075
1730,710,30985
1731,29,61285
1732,247,10641
1733,859,30247
1734,774,10800
1735,641,10510
1736,723,10367
1737,695,60851
1738,749,20322
1739,5675,60764
1740,630,61042
1741,661,60694
1742,627,40470
1743,611,10644
1744,607,60569
1745,64,10611
1746,631,10625
1747,822,10631
1748,682,10241
1749,688,40268
1750,172,60780
1751,604,40213
1752,745,60515
1753,52,20066
1754,650,40895
1755,10,30690
1756,428,30785
1757,721,61084
1758,601,61254
1759,617,10548
1760,756,30577
1761,131,40331
1762,315,60123
1763,720,10061
1764,5702,50267
1765,601,61204
1766,615,10541
1767,833,50727
1768,179,20419
1769,649,61210
1770,5716,60971
1771,671,40736
1772,485,61205
1773,5662,40086
1774,591,11034
1775,705,30678
1776,596,30197
1777,631,40697
1778,705,10631
1779,636,30320
1780,631,10735
1781,601,10631
1782,131,10580
1783,131,60032
1784,716,60240
1785,99,40131
1786,172,40379
1787,658,40201
1788,23,10635
1789,683,10282
1790,118,50824
1791,782,60345
1792,778,40241
1793,91,60673
1794,23,60180
1795,658,30312
1796,172,10728
1797,607,40213
1798,624,10618
1799,724,60447
1800,742,10116
1801,721,50671
1802,813,50551
1803,64,10071
1804,607,30097
1805,712,10618
1806,859,40169
1807,131,10800
1808,805,60146
1809,856,60628
1810,683,60731
1811,592,50602
1812,622,20352
1813,592,30193
1814,604,20350
1815,91,10779
1816,607,60183
1817,891,10617
1818,599,50362
1819,601,50788
1820,865,10567
1821,23,50379
1822,64,10284
1823,357,10638
1824,849,30430
1825,196,10181
1826,634,10433
1827,665,60107
1828,614,30896
1829,601,30410
1830,618,10565
1831,992,10772
1832,214,10811
1833,741,10086
1834,666,60693
1835,131,10778
1836,666,60059
1837,833,20286
1838,5678,20444
1839,99,10801
1840,758,40371
1841,64,30342
1842,609,30014
1843,5675,60309
1844,131,61043
1845,679,60126
1846,5717,30559
1847,762,30980
1848,176,30893
1849,601,61143
1850,625,20223
1851,657,10497
